"filename", "language", "JSON", "JavaScript", "XML", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"d:\code\myProject\pick_and_go_project\client\README.md", "Markdown", 0, 0, 0, 0, -38, 0, 0, -33, -71
"d:\code\myProject\pick_and_go_project\client\package-lock.json", "JSON", -17987, 0, 0, 0, 0, 0, 0, -1, -17988
"d:\code\myProject\pick_and_go_project\client\package.json", "JSON", -41, 0, 0, 0, 0, 0, 0, -1, -42
"d:\code\myProject\pick_and_go_project\client\public\env.js", "JavaScript", 0, -83, 0, 0, 0, 0, 0, 0, -83
"d:\code\myProject\pick_and_go_project\client\public\index.html", "HTML", 0, 0, 0, 0, 0, -36, -10, -1, -47
"d:\code\myProject\pick_and_go_project\client\src\App.css", "CSS", 0, 0, 0, -89, 0, 0, 0, -21, -110
"d:\code\myProject\pick_and_go_project\client\src\App.js", "JavaScript", 0, -127, 0, 0, 0, 0, 0, -10, -137
"d:\code\myProject\pick_and_go_project\client\src\AppExample.js", "JavaScript", 0, -23, 0, 0, 0, 0, 0, -3, -26
"d:\code\myProject\pick_and_go_project\client\src\components\btn\pageChoose.js", "JavaScript", 0, -68, 0, 0, 0, 0, -1, -4, -73
"d:\code\myProject\pick_and_go_project\client\src\components\card\siteCard.js", "JavaScript", 0, -118, 0, 0, 0, 0, -2, -8, -128
"d:\code\myProject\pick_and_go_project\client\src\components\card\tourCard.js", "JavaScript", 0, -138, 0, 0, 0, 0, -4, -11, -153
"d:\code\myProject\pick_and_go_project\client\src\components\card\tourSiteCard.js", "JavaScript", 0, -89, 0, 0, 0, 0, 0, -4, -93
"d:\code\myProject\pick_and_go_project\client\src\components\card\tourTableCard.js", "JavaScript", 0, -71, 0, 0, 0, 0, -2, -5, -78
"d:\code\myProject\pick_and_go_project\client\src\components\card\touristCard.js", "JavaScript", 0, -84, 0, 0, 0, 0, -4, -8, -96
"d:\code\myProject\pick_and_go_project\client\src\components\error\noAuth.js", "JavaScript", 0, -5, 0, 0, 0, 0, -1, -4, -10
"d:\code\myProject\pick_and_go_project\client\src\components\error\notFound.js", "JavaScript", 0, -19, 0, 0, 0, 0, -1, -4, -24
"d:\code\myProject\pick_and_go_project\client\src\components\modal\delete.js", "JavaScript", 0, -89, 0, 0, 0, 0, -4, -10, -103
"d:\code\myProject\pick_and_go_project\client\src\components\modal\participants.js", "JavaScript", 0, -102, 0, 0, 0, 0, -2, -8, -112
"d:\code\myProject\pick_and_go_project\client\src\components\modal\profile.js", "JavaScript", 0, -101, 0, 0, 0, 0, -2, -8, -111
"d:\code\myProject\pick_and_go_project\client\src\components\pages\public\Layout.js", "JavaScript", 0, -12, 0, 0, 0, 0, 0, -3, -15
"d:\code\myProject\pick_and_go_project\client\src\components\pages\public\auth\googleLogin.js", "JavaScript", 0, -28, 0, 0, 0, 0, -1, -5, -34
"d:\code\myProject\pick_and_go_project\client\src\components\pages\public\auth\login.js", "JavaScript", 0, -105, 0, 0, 0, 0, -1, -9, -115
"d:\code\myProject\pick_and_go_project\client\src\components\pages\public\auth\signup.js", "JavaScript", 0, -137, 0, 0, 0, 0, -3, -12, -152
"d:\code\myProject\pick_and_go_project\client\src\components\pages\public\home.js", "JavaScript", 0, -5, 0, 0, 0, 0, 0, -3, -8
"d:\code\myProject\pick_and_go_project\client\src\components\pages\public\navbar.js", "JavaScript", 0, -132, 0, 0, 0, 0, 0, -5, -137
"d:\code\myProject\pick_and_go_project\client\src\components\pages\public\sites\search_sites.js", "JavaScript", 0, -363, 0, 0, 0, 0, -8, -16, -387
"d:\code\myProject\pick_and_go_project\client\src\components\pages\public\sites\siteDetail.js", "JavaScript", 0, -193, 0, 0, 0, 0, -4, -16, -213
"d:\code\myProject\pick_and_go_project\client\src\components\pages\public\tours\search_tours.js", "JavaScript", 0, -137, 0, 0, 0, 0, -4, -11, -152
"d:\code\myProject\pick_and_go_project\client\src\components\pages\public\tours\tourDetail.js", "JavaScript", 0, -114, 0, 0, 0, 0, -7, -15, -136
"d:\code\myProject\pick_and_go_project\client\src\components\pages\users\MyPageLayout.js", "JavaScript", 0, -18, 0, 0, 0, 0, 0, -3, -21
"d:\code\myProject\pick_and_go_project\client\src\components\pages\users\profile\editPassword.js", "JavaScript", 0, -93, 0, 0, 0, 0, -2, -9, -104
"d:\code\myProject\pick_and_go_project\client\src\components\pages\users\profile\editProfile.js", "JavaScript", 0, -157, 0, 0, 0, 0, -4, -9, -170
"d:\code\myProject\pick_and_go_project\client\src\components\pages\users\profile\myProfile.js", "JavaScript", 0, -105, 0, 0, 0, 0, -3, -7, -115
"d:\code\myProject\pick_and_go_project\client\src\components\pages\users\sidebar.js", "JavaScript", 0, -68, 0, 0, 0, 0, 0, -4, -72
"d:\code\myProject\pick_and_go_project\client\src\components\pages\users\site\addNewSite.js", "JavaScript", 0, -255, 0, 0, 0, 0, -7, -15, -277
"d:\code\myProject\pick_and_go_project\client\src\components\pages\users\site\editSite.js", "JavaScript", 0, -356, 0, 0, 0, 0, -16, -29, -401
"d:\code\myProject\pick_and_go_project\client\src\components\pages\users\site\myCollectSites.js", "JavaScript", 0, -93, 0, 0, 0, 0, -4, -12, -109
"d:\code\myProject\pick_and_go_project\client\src\components\pages\users\site\mySiteDetail.js", "JavaScript", 0, -127, 0, 0, 0, 0, -2, -11, -140
"d:\code\myProject\pick_and_go_project\client\src\components\pages\users\site\mySitesOverview.js", "JavaScript", 0, -123, 0, 0, 0, 0, -5, -18, -146
"d:\code\myProject\pick_and_go_project\client\src\components\pages\users\tour\addNewParticipant.js", "JavaScript", 0, -72, 0, 0, 0, 0, -2, -11, -85
"d:\code\myProject\pick_and_go_project\client\src\components\pages\users\tour\addNewTour.js", "JavaScript", 0, -95, 0, 0, 0, 0, -5, -10, -110
"d:\code\myProject\pick_and_go_project\client\src\components\pages\users\tour\addSiteToATour.js", "JavaScript", 0, -172, 0, 0, 0, 0, -7, -19, -198
"d:\code\myProject\pick_and_go_project\client\src\components\pages\users\tour\myAppliedToursOverview.js", "JavaScript", 0, -83, 0, 0, 0, 0, -3, -8, -94
"d:\code\myProject\pick_and_go_project\client\src\components\pages\users\tour\myTourDetail.js", "JavaScript", 0, -101, 0, 0, 0, 0, -6, -16, -123
"d:\code\myProject\pick_and_go_project\client\src\components\pages\users\tour\myToursOverview.js", "JavaScript", 0, -276, 0, 0, 0, 0, -10, -23, -309
"d:\code\myProject\pick_and_go_project\client\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\code\myProject\pick_and_go_project\client\src\index.js", "JavaScript", 0, -10, 0, 0, 0, 0, 0, -2, -12
"d:\code\myProject\pick_and_go_project\client\src\logo.svg", "XML", 0, 0, -1, 0, 0, 0, 0, 0, -1
"d:\code\myProject\pick_and_go_project\client\src\service\auth.js", "JavaScript", 0, -39, 0, 0, 0, 0, -9, -14, -62
"d:\code\myProject\pick_and_go_project\client\src\service\site.js", "JavaScript", 0, -86, 0, 0, 0, 0, -20, -22, -128
"d:\code\myProject\pick_and_go_project\client\src\service\tour.js", "JavaScript", 0, -88, 0, 0, 0, 0, -23, -25, -136
"d:\code\myProject\pick_and_go_project\server\index.js", "JavaScript", 0, 53, 0, 0, 0, 0, 2, 10, 65
"d:\code\myProject\pick_and_go_project\server\package-lock.json", "JSON", 2240, 0, 0, 0, 0, 0, 0, 1, 2241
"d:\code\myProject\pick_and_go_project\server\package.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 1, 32
"d:\code\myProject\pick_and_go_project\server\src\config\email.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 4, 27
"d:\code\myProject\pick_and_go_project\server\src\config\imgur.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 3, 11
"d:\code\myProject\pick_and_go_project\server\src\config\passport.js", "JavaScript", 0, 69, 0, 0, 0, 0, 6, 7, 82
"d:\code\myProject\pick_and_go_project\server\src\config\redis.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 3, 13
"d:\code\myProject\pick_and_go_project\server\src\controllers\validation.js", "JavaScript", 0, 154, 0, 0, 0, 0, 6, 14, 174
"d:\code\myProject\pick_and_go_project\server\src\models\collect-model.js", "JavaScript", 0, 7, 0, 0, 0, 0, 1, 4, 12
"d:\code\myProject\pick_and_go_project\server\src\models\index.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 1, 10
"d:\code\myProject\pick_and_go_project\server\src\models\like-model.js", "JavaScript", 0, 7, 0, 0, 0, 0, 1, 4, 12
"d:\code\myProject\pick_and_go_project\server\src\models\site-model.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 3, 24
"d:\code\myProject\pick_and_go_project\server\src\models\tour-model.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 3, 20
"d:\code\myProject\pick_and_go_project\server\src\models\tourSite-model.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 3, 11
"d:\code\myProject\pick_and_go_project\server\src\models\tourist-model.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 3, 11
"d:\code\myProject\pick_and_go_project\server\src\models\user-model.js", "JavaScript", 0, 37, 0, 0, 0, 0, 5, 6, 48
"d:\code\myProject\pick_and_go_project\server\src\routes\index.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\code\myProject\pick_and_go_project\server\src\routes\sites.js", "JavaScript", 0, 802, 0, 0, 0, 0, 64, 88, 954
"d:\code\myProject\pick_and_go_project\server\src\routes\tours.js", "JavaScript", 0, 894, 0, 0, 0, 0, 87, 114, 1095
"d:\code\myProject\pick_and_go_project\server\src\routes\users.js", "JavaScript", 0, 219, 0, 0, 0, 0, 25, 34, 278
"d:\code\myProject\pick_and_go_project\server\test.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 3, 7
"Total", "-", -15757, -2405, -1, -89, -38, -36, 8, -197, -18515